,school_within_300,bus_stop_within_300,speedlimit,tb_latitude,tb_longitude,day_of_year,accident_year,distance,weather_1,collision_severity,type_of_collision,road_surface,road_cond_1,lighting,number_killed,number_injured,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,CLUSTER_ID,accident
89,0,1,50,37.77745742,-122.4131577,016,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Right Turn,Pedestrian,West,Proceeding Straight,32,1,10,34,19,12.1,8.9,14.4,0.0,0.0,,4.7,1024.4,373,1
90,0,0,20,37.77825102,-122.4198832,345,2015,0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making U Turn,Pedestrian,South,Proceeding Straight,21,4,10,36,6,11.2,7.8,13.3,3.0,0.0,276.0,17.3,1012.9,328,1
93,0,1,25,37.7992227,-122.4086287,309,2014,148,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Crossed Into Opposing Lane - Unplanned,Driver,North,Proceeding Straight,106,6,3,6,21,16.7,12.2,24.4,0.0,0.0,,3.2,1020.9,382,1
94,0,0,25,37.76438993,-122.5008295,275,2016,6,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Slowing/Stopping,Pedestrian,West,Other,39,10,7,35,20,15.6,12.2,20.6,0.0,0.0,281.0,27.7,1019.4,13,1
96,0,0,25,37.77235295,-122.4288096,031,2016,14,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Proceeding Straight,Pedestrian,East,Proceeding Straight,26,4,11,9,18,10.9,8.9,12.2,0.0,0.0,298.0,27.4,1011.5,261,1
97,0,0,50,37.78307785,-122.3936181,272,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,West,Making Right Turn,31,1,10,8,20,15.9,12.8,20.0,0.0,0.0,294.0,22.3,1012.4,185,1
98,0,1,20,37.78682753,-122.4199279,339,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Left Turn,Pedestrian,North,Parked,50,4,3,36,0,16.2,14.4,19.4,3.6,0.0,160.0,9.7,1016.3,411,1
99,0,1,20,37.78414101,-122.4109516,305,2015,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,South,Proceeding Straight,Driver,North,Proceeding Straight,20,5,10,36,5,16.9,13.9,21.7,0.8,0.0,,11.2,1018.8,444,1
100,0,1,25,37.72835755,-122.4511126,021,2016,0,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,95,9,8,41,6,11.9,10.0,16.7,0.0,0.0,,7.9,1019.8,2,1
101,0,0,50,37.78030903,-122.4078762,143,2015,75,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Traveling Wrong Way,Driver,South,Proceeding Straight,32,1,10,34,14,14.1,12.2,17.2,0.0,0.0,254.0,23.0,1018.5,452,1
102,0,0,20,37.78165426,-122.4155052,286,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,21,5,10,36,11,14.5,12.8,15.6,0.0,0.0,,10.1,1018.5,467,1
103,0,1,50,37.78105978,-122.4088201,341,2016,46,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Not Stated,Driver,South,Proceeding Straight,32,5,10,34,18,10.2,6.1,13.3,0.0,0.0,323.0,14.0,1018.9,459,1
104,0,1,20,37.78526707,-122.419607,152,2016,61,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Not Stated,Driver,North,Proceeding Straight,20,4,10,36,8,16.3,11.7,22.8,0.0,0.0,303.0,19.1,1011.2,418,1
106,1,0,50,37.77548905,-122.4226733,350,2014,7,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,21,4,11,9,18,12.7,10.0,17.2,21.3,0.0,137.0,14.0,1012.4,304,1
109,0,1,50,37.76492781,-122.4217139,223,2013,50,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,Obstruction on Roadway,Dark - Street Lights,0,1,Driver,East,Making U Turn,Pedestrian,South,Other,53,3,2,20,1,15.6,12.8,18.9,0.0,0.0,280.0,18.4,1016.4,291,1
110,1,1,50,37.78447875,-122.4042669,164,2014,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Other,Driver,West,Proceeding Straight,32,1,10,34,19,16.7,12.2,22.8,0.0,0.0,278.0,24.5,1014.5,422,1
111,0,1,50,37.76902143,-122.4268848,343,2016,35,Raining,Injury (Severe),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Proceeding Straight,37,3,5,5,23,10.4,9.4,16.1,33.5,0.0,67.0,10.8,1019.6,257,1
112,0,1,50,37.78271196,-122.4064546,364,2016,10,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Making Right Turn,Pedestrian,West,Not Stated,32,1,10,34,19,9.9,5.0,14.4,0.0,0.0,,4.3,1021.4,415,1
113,0,1,15,37.72959856,-122.468611,040,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,63,10,8,41,7,15.0,9.4,21.7,0.0,0.0,,5.0,1022.0,56,1
116,0,0,10,37.72308505,-122.4432738,335,2016,0,Clear,Fatal,Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,1,0,Driver,East,Proceeding Straight,Pedestrian,North,Not Stated,80,9,1,28,18,10.9,7.2,13.3,1.5,0.0,77.0,6.8,1020.1,102,1
117,0,1,50,37.77305345,-122.4186182,158,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Other,32,1,10,20,1,16.9,12.8,21.7,0.0,0.0,,20.5,1012.2,211,1
118,0,1,20,37.78495388,-122.4279889,294,2015,0,Clear,Injury (Other Visible),Broadside,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Right Turn,Pedestrian,South,Other,100,4,11,39,20,17.7,12.8,23.9,0.0,0.0,,13.3,1013.9,289,1
119,0,0,50,37.76382321,-122.4135876,251,2015,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,53,3,2,20,7,23.1,16.1,33.3,0.0,0.0,,9.4,1011.0,253,1
120,0,1,15,37.72165231,-122.4723055,327,2013,12,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Not Stated,Driver,North,Proceeding Straight,67,10,8,41,18,15.3,10.0,18.3,0.0,0.0,,7.6,1017.0,19,1
121,0,1,50,37.77749384,-122.4162917,175,2016,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Not Stated,Driver,East,Proceeding Straight,32,5,10,34,8,15.8,12.2,22.8,0.0,0.0,283.0,34.9,1018.1,345,1
