,id,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,primary_rd,secondary_rd,distance,weather_1,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,lighting,intersection,number_killed,number_injured,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour
206,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-40c6,32958,26824000.0,,150981875,37.7898722958889,-122.440805572959,SFPD-CROSSROADS,CITY STREET,11/10/2015 08:55:00 PM,2015 November 10,20:55:00,2015,November,Tuesday,DIVISADERO ST,CLAY ST,0.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.4408 37.78987),102.0,4.0,6.0,30.0,20
208,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-49b5,1337,21431000.0,,140779878,37.7156931731613,-122.436195150325,SFPD-CROSSROADS,CITY STREET,09/16/2014 08:08:00 AM,2014 September 16,08:08:00,2014,September,Tuesday,AMAZON AVE,EDINBURGH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Driver,East,Stopped In Road,Pedestrian,South,Not Stated,POINT (-122.436195 37.715694),90.0,9.0,1.0,7.0,08
222,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3a8a,26690,24506000.0,,160692802,37.78992622953,-122.39427622789,SFPD-CROSSROADS,CITY STREET,08/26/2016 07:50:00 PM,2016 August 26,19:50:00,2016,August,Friday,HOWARD ST,BEALE ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Right Turn,Pedestrian,South,Other,POINT (-122.39428 37.789925),32.0,1.0,10.0,8.0,19
232,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-37d0,3501,20620000.0,8279000.0,161016481,37.7319546774268,-122.400626505558,SFPD-CROSSROADS,CITY STREET,12/15/2016 08:30:00 AM,2016 December 15,08:30:00,2016,December,Thursday,LEDYARD ST,THORNTON AVE,200.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Wet,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.40063 37.731956),87.0,2.0,9.0,1.0,08
234,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-38c9,31465,26643000.0,,160894105,37.7871124570877,-122.440249956871,SFPD-CROSSROADS,CITY STREET,11/02/2016 09:30:00 PM,2016 November 02,21:30:00,2016,November,Wednesday,DIVISADERO ST,PINE ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.44025 37.787113),103.0,4.0,6.0,30.0,21
235,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4a2a,39052,23183000.0,921201.0,140681665,37.7428806243423,-122.475707389903,SFPD-CROSSROADS,CITY STREET,08/15/2014 02:20:00 AM,2014 August 15,02:20:00,2014,August,Friday,19TH AVE,TARAVAL ST,61.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.47571 37.74288),40.0,10.0,7.0,35.0,02
243,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4b41,15136,23929000.0,,140485348,37.775514154437,-122.406295964869,SFPD-CROSSROADS,CITY STREET,06/11/2014 01:28:00 PM,2014 June 11,13:28:00,2014,June,Wednesday,HARRISON ST,07TH ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Other,POINT (-122.406296 37.775513),32.0,1.0,10.0,34.0,13
249,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-43fa,24380,24334000.0,,150540885,37.781863339059,-122.413865604238,SFPD-CROSSROADS,CITY STREET,06/21/2015 03:51:00 PM,2015 June 21,15:51:00,2015,June,Sunday,GOLDEN GATE AVE,LEAVENWORTH ST,0.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,2,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Parked,POINT (-122.413864 37.781864),20.0,5.0,10.0,36.0,15
272,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-450d,23602,24528000.0,,150375557,37.7880921825168,-122.39547795006,SFPD-CROSSROADS,CITY STREET,04/30/2015 12:23:00 PM,2015 April 30,12:23:00,2015,April,Thursday,01ST ST,TEHAMA ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Proceeding Straight,Driver,West,Stopped In Road,POINT (-122.39548 37.788094),32.0,1.0,10.0,8.0,12
275,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3f41,1109,21550000.0,,160069091,37.709543368801,-122.45049893027,SFPD-CROSSROADS,CITY STREET,01/24/2016 05:02:00 PM,2016 January 24,17:02:00,2016,January,Sunday,MISSION ST,OLIVER ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,2,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.4505 37.709545),66.0,9.0,1.0,28.0,17
280,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4d5c,48740,24248000.0,,190753838,37.7740433272,-122.414367691,SFPD-INTERIM DB,CITY STREET,10/07/2019 10:18:00 AM,2019 October 07,10:18:00,2019,October,Monday,10TH ST,HOWARD ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,POINT (-122.41437 37.774044),32.0,1.0,10.0,34.0,10
286,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4e08,52009,27553000.0,6081101.0,190883764,37.7800857111,-122.484717287,SFPD-INTERIM DB,CITY STREET,11/22/2019 08:06:00 AM,2019 November 22,08:06:00,2019,November,Friday,GEARY BLVD,25TH AVE,5.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Left Turn,Pedestrian,South,Proceeding Straight,POINT (-122.48472 37.780087),8.0,8.0,4.0,29.0,08
292,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4195,33896,25344000.0,12844000.0,150876389,37.8005967352025,-122.407927947765,SFPD-CROSSROADS,CITY STREET,10/06/2015 09:00:00 PM,2015 October 06,21:00:00,2015,October,Tuesday,UNION ST,GRANT AVE,100.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,,Pedestrian,South,Other,Driver,West,Proceeding Straight,POINT (-122.40793 37.8006),106.0,6.0,3.0,23.0,21
294,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4031,270,20344000.000000004,,151069202,37.7111901134564,-122.40701331454,SFPD-CROSSROADS,CITY STREET,12/10/2015 06:23:00 PM,2015 December 10,18:23:00,2015,December,Thursday,PEABODY ST,VISITACION AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.40701 37.71119),75.0,9.0,9.0,40.0,18
302,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4c99,40411,27078000.0,,140279135,37.7623157690591,-122.46297200116,SFPD-CROSSROADS,CITY STREET,04/03/2014 08:05:00 PM,2014 April 03,20:05:00,2014,April,Thursday,06TH AVE,JUDAH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,,Driver,North,Proceeding Straight,Pedestrian,East,Other,POINT (-122.462975 37.762318),109.0,7.0,11.0,14.0,20
310,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4e9a,16763,24434000.0,,130348900,37.7786578558534,-122.416580343569,SFPD-CROSSROADS,CITY STREET,04/29/2013 08:44:00 AM,2013 April 29,08:44:00,2013,April,Monday,LARKIN ST,GROVE ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Right Turn,Pedestrian,West,Proceeding Straight,POINT (-122.41658 37.778656),21.0,5.0,10.0,36.0,08
323,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4ac4,11832,24168000.0,,140575842,37.7651099551722,-122.418698425482,SFPD-CROSSROADS,CITY STREET,07/11/2014 01:45:00 PM,2014 July 11,13:45:00,2014,July,Friday,16TH ST,CAPP ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.4187 37.76511),53.0,3.0,2.0,20.0,13
327,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-39d1,25807,24655000.0,,150690236,37.7877654959388,-122.405041399303,SFPD-CROSSROADS,CITY STREET,08/08/2015 02:03:00 PM,2015 August 08,14:03:00,2015,August,Saturday,GRANT AVE,GEARY ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,South,Proceeding Straight,POINT (-122.405045 37.787766),19.0,6.0,3.0,8.0,14
333,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-466c,40345,27065000.0,10293000.0,150192066,37.7629354955787,-122.45975664728,SFPD-CROSSROADS,CITY STREET,03/03/2015 07:33:00 AM,2015 March 03,07:33:00,2015,March,Tuesday,PARNASSUS AVE,03RD AVE,10.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.459755 37.762936),110.0,7.0,11.0,14.0,07
338,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4829,20520,24448000.0,5439000.0,141022555,37.7764847361756,-122.418572705108,SFPD-CROSSROADS,CITY STREET,12/04/2014 12:05:00 PM,2014 December 04,12:05:00,2014,December,Thursday,09TH ST,MISSION ST,130.0,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Wet,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Other,Driver,North,Proceeding Straight,POINT (-122.41857 37.776485),21.0,4.0,10.0,36.0,12
342,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-37fe,26854,24554000.0,,160994824,37.7911528083193,-122.395813421411,SFPD-CROSSROADS,CITY STREET,12/07/2016 07:30:00 PM,2016 December 07,19:30:00,2016,December,Wednesday,MISSION ST,BEALE ST,0.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.39581 37.791153),108.0,1.0,10.0,8.0,19
345,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4038,20462,25916000.0,5441000.0,151066496,37.7759528551069,-122.422764152565,SFPD-CROSSROADS,CITY STREET,12/09/2015 07:32:00 PM,2015 December 09,19:32:00,2015,December,Wednesday,FELL ST,GOUGH ST,7.0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.42277 37.77595),21.0,4.0,11.0,9.0,19
347,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4efd,4016,21769000.0,9164000.0,130019402,37.7246486805246,-122.434824115195,SFPD-CROSSROADS,CITY STREET,01/08/2013 12:30:00 AM,2013 January 08,00:30:00,2013,January,Tuesday,MISSION ST,BRAZIL AVE,15.0,Clear,Injury (Complaint of Pain),Sideswipe,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.43482 37.724648),90.0,9.0,1.0,7.0,00
348,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-45f7,55173,21137000.0,,210285258,37.749600641,-122.40882528,SFPD-INTERIM DB,CITY STREET,05/09/2021 07:09:00 PM,2021 May 09,19:09:00,2021,May,Sunday,26TH ST,BRYANT ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,Obstruction on Roadway,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,West,Proceeding Straight,POINT (-122.40883 37.7496),53.0,3.0,2.0,20.0,19
351,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4c3a,20478,25913000.0,,130581906,37.7755245459237,-122.426070324097,SFPD-CROSSROADS,CITY STREET,07/15/2013 01:50:00 PM,2013 July 15,13:50:00,2013,July,Monday,FELL ST,LAGUNA ST,0.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.42607 37.775524),22.0,4.0,11.0,9.0,13
359,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4cde,194,20308000.0,,140236301,37.7104092166788,-122.404226037147,SFPD-CROSSROADS,CITY STREET,03/20/2014 11:16:00 AM,2014 March 20,11:16:00,2014,March,Thursday,BAY SHORE BLVD,VISITACION AVE,0.0,Clear,Fatal,Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,1.0,0,1.0,Driver,North,Making Left Turn,Pedestrian,East,Not Stated,POINT (-122.40423 37.71041),75.0,9.0,9.0,40.0,11
365,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4d4d,29376,26489000.000000004,5181000.0,140169263,37.7836166375003,-122.422670968596,SFPD-CROSSROADS,CITY STREET,02/26/2014 07:54:00 PM,2014 February 26,19:54:00,2014,February,Wednesday,ELLIS ST,FRANKLIN ST,5.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.42267 37.783615),100.0,4.0,11.0,39.0,19
368,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3869,43171,27214000.0,5105000.0,160940720,37.7781043850561,-122.457863865376,SFPD-CROSSROADS,CITY STREET,11/18/2016 04:21:00 PM,2016 November 18,16:21:00,2016,November,Friday,EDWARD ST,ARGUELLO BLVD,226.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.45786 37.778103),12.0,8.0,4.0,18.0,16
373,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3bdc,24697,30739000.0,,160511882,37.7839914868634,-122.408066547888,SFPD-CROSSROADS,CITY STREET,06/24/2016 02:06:00 PM,2016 June 24,14:06:00,2016,June,Friday,MARKET ST,05TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Other,Driver,East,Backing,POINT (-122.408066 37.783993),19.0,5.0,10.0,34.0,14
378,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-3cbf,16476,23944000.0,,160394597,37.7814995083039,-122.404933346348,SFPD-CROSSROADS,CITY STREET,05/14/2016 03:05:00 PM,2016 May 14,15:05:00,2016,May,Saturday,05TH AVE,HOWARD ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,South,Making Left Turn,POINT (-122.40493 37.781498),32.0,1.0,10.0,34.0,15
393,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-4219,20864,25939000.0,,150809318,37.7778152462434,-122.423165553354,SFPD-CROSSROADS,CITY STREET,09/15/2015 09:42:00 AM,2015 September 15,09:42:00,2015,September,Tuesday,GROVE ST,GOUGH ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Left Turn,Pedestrian,South,Proceeding Straight,POINT (-122.423164 37.777817),21.0,4.0,11.0,9.0,09
394,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_-37e9,7885,24092000.000000004,,161000008,37.7521714128984,-122.419557365811,SFPD-CROSSROADS,CITY STREET,12/09/2016 05:33:00 PM,2016 December 09,17:33:00,2016,December,Friday,BARTLETT ST,24TH ST,0.0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,North,Proceeding Straight,POINT (-122.419556 37.75217),53.0,3.0,2.0,20.0,17
